,direction,type,trial
0,30,direction30,1
1,5,direction5,2
2,0,direction0,3
3,20,direction20,4
4,10,direction10,5
5,35,direction35,6
6,25,direction25,7
7,15,direction15,8
8,5,direction5,9
9,35,direction35,10
10,10,direction10,11
11,15,direction15,12
12,0,direction0,13
13,30,direction30,14
14,25,direction25,15
15,20,direction20,16
16,10,direction10,17
17,20,direction20,18
18,25,direction25,19
19,0,direction0,20
20,30,direction30,21
21,5,direction5,22
22,35,direction35,23
23,15,direction15,24
24,20,direction20,25
25,15,direction15,26
26,25,direction25,27
27,35,direction35,28
28,0,direction0,29
29,10,direction10,30
30,5,direction5,31
31,30,direction30,32
32,20,direction20,33
33,0,direction0,34
34,10,direction10,35
35,15,direction15,36
36,35,direction35,37
37,5,direction5,38
38,25,direction25,39
39,30,direction30,40
40,10,direction10,41
41,0,direction0,42
42,25,direction25,43
43,15,direction15,44
44,30,direction30,45
45,35,direction35,46
46,5,direction5,47
47,20,direction20,48
48,0,direction0,49
49,5,direction5,50
50,25,direction25,51
51,10,direction10,52
52,35,direction35,53
53,30,direction30,54
54,20,direction20,55
55,15,direction15,56
56,10,direction10,57
57,25,direction25,58
58,20,direction20,59
59,35,direction35,60
60,5,direction5,61
61,0,direction0,62
62,15,direction15,63
63,30,direction30,64
64,15,direction15,65
65,0,direction0,66
66,30,direction30,67
67,35,direction35,68
68,25,direction25,69
69,5,direction5,70
70,10,direction10,71
71,20,direction20,72
72,5,direction5,73
73,15,direction15,74
74,25,direction25,75
75,10,direction10,76
76,30,direction30,77
77,0,direction0,78
78,35,direction35,79
79,20,direction20,80
80,5,direction5,81
81,25,direction25,82
82,15,direction15,83
83,35,direction35,84
84,10,direction10,85
85,20,direction20,86
86,30,direction30,87
87,0,direction0,88
88,20,direction20,89
89,30,direction30,90
90,10,direction10,91
91,15,direction15,92
92,0,direction0,93
93,25,direction25,94
94,35,direction35,95
95,5,direction5,96
96,0,direction0,97
97,15,direction15,98
98,25,direction25,99
99,35,direction35,100
100,20,direction20,101
101,10,direction10,102
102,5,direction5,103
103,30,direction30,104
104,35,direction35,105
105,0,direction0,106
106,20,direction20,107
107,25,direction25,108
108,30,direction30,109
109,5,direction5,110
110,15,direction15,111
111,10,direction10,112
112,35,direction35,113
113,20,direction20,114
114,15,direction15,115
115,10,direction10,116
116,30,direction30,117
117,0,direction0,118
118,25,direction25,119
119,5,direction5,120
120,20,direction20,121
121,5,direction5,122
122,10,direction10,123
123,25,direction25,124
124,0,direction0,125
125,35,direction35,126
126,30,direction30,127
127,15,direction15,128
128,30,direction30,129
129,10,direction10,130
130,5,direction5,131
131,20,direction20,132
132,35,direction35,133
133,25,direction25,134
134,0,direction0,135
135,15,direction15,136
136,35,direction35,137
137,15,direction15,138
138,5,direction5,139
139,30,direction30,140
140,20,direction20,141
141,0,direction0,142
142,10,direction10,143
143,25,direction25,144
144,30,direction30,145
145,15,direction15,146
146,20,direction20,147
147,25,direction25,148
148,10,direction10,149
149,0,direction0,150
150,5,direction5,151
151,35,direction35,152
152,10,direction10,153
153,0,direction0,154
154,5,direction5,155
155,15,direction15,156
156,20,direction20,157
157,35,direction35,158
158,30,direction30,159
159,25,direction25,160
